secondary_study_accession	sample_accession	secondary_sample_accession	run_accession	submission_accession	fastq_md5	fastq_ftp	submitted_ftp
ERP109205	SAMEA3570833	ERS877982	ERR1424005	ERA625452	4bc6a97716409d5691509a6af2b95537;374b7d7512f4e8186df67bde68247466	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424005/ERR1424005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1424005/ERR1424005_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424005/19189_8#35.cram
ERP109205	SAMEA3570835	ERS877984	ERR1424006	ERA625452	9e19d0ff8ac9e5190d67a50d8e513002;8ad184f74849dffd1f6ec35f331eaa5c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424006/ERR1424006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1424006/ERR1424006_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424006/19189_8#36.cram
ERP109205	SAMEA3570837	ERS877986	ERR1424007	ERA625452	aa276b19b1b6658673a41d0ceb0c2337;cd89b77aa8cbd67e840a5e24149d8be3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424007/ERR1424007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1424007/ERR1424007_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424007/19189_8#37.cram
ERP109205	SAMEA3570839	ERS877988	ERR1424008	ERA625452	872ffee07a5c37a82d5acbfc48f17525;2478f42084ca7ab5e19a9ae0f15c7488	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424008/ERR1424008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1424008/ERR1424008_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424008/19189_8#38.cram
ERP109205	SAMEA3570841	ERS877990	ERR1424009	ERA625452	949a6d0c38fd3b322bcff192ea2b83a1;06cda6c0b6f67ed87a3dc1eef35ac352	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424009/ERR1424009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1424009/ERR1424009_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424009/19189_8#39.cram
ERP109205	SAMEA3570843	ERS877992	ERR1424010	ERA625452	fcc193989f970183cf49764864255d70;870e3e4fe5628bc257815199d7a53819	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424010/ERR1424010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424010/ERR1424010_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424010/19189_8#40.cram
ERP109205	SAMEA3570845	ERS877994	ERR1424011	ERA625452	33ca18b8ec96b6c5d07ce46d9f2ec206;1aecce611d886ec6ad195fc057253d4d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424011/ERR1424011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424011/ERR1424011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424011/19189_8#41.cram
ERP109205	SAMEA3570847	ERS877996	ERR1424012	ERA625452	8da38296cec7fa0363613b717f3787b8;e200d1f350ea6d813f54d5b77a2a9185	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424012/ERR1424012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424012/ERR1424012_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424012/19189_8#42.cram
ERP109205	SAMEA3570849	ERS877998	ERR1424013	ERA625452	05815ec63bf1735f5f947d5e5b71fcff;0986a6cbd5f6c660c92d7106d4bd6c13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424013/ERR1424013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424013/ERR1424013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424013/19189_8#43.cram
ERP109205	SAMEA3570851	ERS878000	ERR1424014	ERA625452	1d8bb8c6e9a41b521baf0e7e9357fd0e;c05ea909cf1b605b6004e17d7095e5fd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424014/ERR1424014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424014/ERR1424014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424014/19189_8#44.cram
