##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del203_UBP11	SD1065b2	ERS838595
Del204_BAS1	SD1066b	ERS838596
Del204_BAS1	SD1066b2	ERS838597
Del205_SKG1	SD1067b	ERS838598
Del205_SKG1	SD1067b2	ERS838599
Del206_SIR1	SD1068b	ERS838600
Del206_SIR1	SD1068b2	ERS838601
Del207_NFT1	SD1069b	ERS838602
Del207_NFT1	SD1069b2	ERS838603
Del208_YKR104W	SD1070b	ERS838604
Del208_YKR104W	SD1070b2	ERS838605
Del209_VBA5	SD1071b	ERS838616
Del209_VBA5	SD1071b2	ERS838617
Del210_COX19	SD1072b	ERS838618
Del210_COX19	SD1072b2	ERS838619
Del211_TMA7	SD1073b	ERS838620
Del211_TMA7	SD1073b2	ERS838621
Del212_YLR422W	SD1074b	ERS838622
Del212_YLR422W	SD1074b2	ERS838623
Del213_ATG17	SD1075b	ERS969959
Del213_ATG17	SD1075b2	ERS969960
Del214_TUS1	SD1076b	ERS838626
Del214_TUS1	SD1076b2	ERS838627
Del215_TDA5	SD1077b	ERS838628
Del215_TDA5	SD1077b2	ERS838629
Del216_MAG2	SD1078b	ERS838630
Del216_MAG2	SD1078b2	ERS838631
Del217_YLR428C	SD1079b	ERS838632
Del217_YLR428C	SD1079b2	ERS838633
Del218_CRN1	SD1080b	ERS838634
Del218_CRN1	SD1080b2	ERS838635
Del219_ATG23	SD1081b	ERS838636
Del219_ATG23	SD1081b2	ERS838637
Del220_IMD3	SD1082b	ERS838638
Del220_IMD3	SD1082b2	ERS838639
Del221_CNA1	SD1083b	ERS838640
Del221_CNA1	SD1083b2	ERS838641
Del222_YLR434C	SD1084b	ERS838642
Del222_YLR434C	SD1084b2	ERS838643
Del223_TSR2	SD1085b	ERS969961
Del223_TSR2	SD1085b2	ERS969962
Del224_ECM30	SD1086b	ERS838646
Del224_ECM30	SD1086b2	ERS838647
Del225_DIF1	SD1087b	ERS838648
Del225_DIF1	SD1087b2	ERS838649
Del226_CAR2	SD1088b	ERS838651
Del226_CAR2	SD1088b2	ERS838652
Del227_RPS1A	SD1089b	ERS838653
Del227_RPS1A	SD1089b2	ERS838654
Del228_ECM7	SD1090b	ERS838655
Del228_ECM7	SD1090b2	ERS838656
Del229_YLR444C	SD1091b	ERS838657
Del229_YLR444C	SD1091b2	ERS838658
Del230_GMC2	SD1092b	ERS838659
Del230_GMC2	SD1092b2	ERS838660
Del231_YLR446W	SD1093b	ERS952982
Del231_YLR446W	SD1093b2	ERS952983
Del232_VMA6	SD1094b	ERS838663
Del232_VMA6	SD1094b2	ERS838664
Del233_RPL6B	SD1095b	ERS838665
Del233_RPL6B	SD1095b2	ERS838666
Del234_FPR4	SD1096b	ERS838667
Del234_FPR4	SD1096b2	ERS838668
Del235_HMG2	SD1097b	ERS838669
Del235_HMG2	SD1097b2	ERS838670
Del236_SST2	SD1098b	ERS838671
Del236_SST2	SD1098b2	ERS838672
Del237_RIF2	SD1099b	ERS838673
Del237_RIF2	SD1099b2	ERS838674
Del238_FMP27	SD1100b	ERS838675
Del238_FMP27	SD1100b2	ERS838676
Del239_YLR456W	SD1101b	ERS838677
Del239_YLR456W	SD1101b2	ERS838678
Del240_YLR460C	SD1102b	ERS838679
Del240_YLR460C	SD1102b2	ERS838680
Del241_PAU4	SD1103b	ERS838681
Del241_PAU4	SD1103b2	ERS838682
Del242_MRPL39	SD1104b	ERS838683
Del242_MRPL39	SD1104b2	ERS838684
Del243_YML010C-B	SD1105b	ERS838685
Del243_YML010C-B	SD1105b2	ERS838686
Del244_UNG1	SD1106b	ERS838687
Del244_UNG1	SD1106b2	ERS838688
Del245_ATP18	SD1107b	ERS838689
Del245_ATP18	SD1107b2	ERS838690
Del246_SAM37	SD1108b	ERS838691
Del246_SAM37	SD1108b2	ERS838692
Del247_YMR158C-B	SD1109b	ERS838693
Del247_YMR158C-B	SD1109b2	ERS838694
Del248_ALD3	SD1110b	ERS838695
Del248_ALD3	SD1110b2	ERS838696
Del249_PAI3	SD1111b	ERS838697
Del249_PAI3	SD1111b2	ERS838698
Del250_SIP18	SD1112b	ERS838699
Del250_SIP18	SD1112b2	ERS838700
Del251_YMR194C-A	SD1113b	ERS838701
Del251_YMR194C-A	SD1113b2	ERS838702
Del252_YMR326C	SD1114b	ERS838703
Del252_YMR326C	SD1114b2	ERS838704
Del253_HUB1	SD1115b	ERS838705
Del253_HUB1	SD1115b2	ERS838706
Del254_LYS9	SD1116b	ERS838707
Del254_LYS9	SD1116b2	ERS838708
Del255_BRE5	SD1117b	ERS838709
Del255_BRE5	SD1117b2	ERS838710
Del256_BIO5	SD1118b	ERS838711
Del256_BIO5	SD1118b2	ERS838712
Del257_BIO4	SD1119b	ERS838624
Del257_BIO4	SD1119b2	ERS838625
Del258_BIO3	SD1120b	ERS838644
Del258_BIO3	SD1120b2	ERS838645
Del259_MNT4	SD1121b	ERS838661
Del259_MNT4	SD1121b2	ERS838662
Del260_FRE4	SD1122b	ERS864095
Del260_FRE4	SD1122b2	ERS864096
Del261_YNR061C	SD1123b	ERS864097
Del261_YNR061C	SD1123b2	ERS864098
Del262_YNR062C	SD1124b	ERS864099
Del262_YNR062C	SD1124b2	ERS864100
Del263_YNR063W	SD1125b	ERS864101
Del263_YNR063W	SD1125b2	ERS864102
Del264_YNR064C	SD1126b	ERS864103
Del264_YNR064C	SD1126b2	ERS864104
Del265_YNR065C	SD1127b	ERS838606
Del265_YNR065C	SD1127b2	ERS838607
