##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del305_UBP3	SD1167b2	ERS864172
Del306_YER152C	SD1168b	ERS864173
Del306_YER152C	SD1168b2	ERS864174
Del307_PET122	SD1169b	ERS864175
Del307_PET122	SD1169b2	ERS864176
Del309_BEM2	SD1171b	ERS969965
Del309_BEM2	SD1171b2	ERS969966
Del310_YER156C	SD1172b	ERS864181
Del310_YER156C	SD1172b2	ERS864182
Del311_YER158C	SD1173b	ERS864183
Del311_YER158C	SD1173b2	ERS864184
Del312_SPT2	SD1174b	ERS864185
Del312_SPT2	SD1174b2	ERS864186
Del313_RAD4	SD1175b	ERS864187
Del313_RAD4	SD1175b2	ERS864188
Del314_GCG1	SD1176b	ERS864189
Del314_GCG1	SD1176b2	ERS864190
Del315_CHD1	SD1177b	ERS864191
Del315_CHD1	SD1177b2	ERS864192
Del316_DNF1	SD1178b	ERS864193
Del316_DNF1	SD1178b2	ERS864194
Del317_BCK2	SD1179b	ERS864195
Del317_BCK2	SD1179b2	ERS864196
Del318_RPH1	SD1180b	ERS864197
Del318_RPH1	SD1180b2	ERS864198
Del319_ADK2	SD1181b	ERS864199
Del319_ADK2	SD1181b2	ERS864200
Del320_RAD24	SD1182b	ERS864201
Del320_RAD24	SD1182b2	ERS864202
Del321_GRX4	SD1183b	ERS864203
Del321_GRX4	SD1183b2	ERS864204
Del322_TMT1	SD1184b	ERS864205
Del322_TMT1	SD1184b2	ERS864206
Del323_ECM32	SD1185b	ERS864207
Del323_ECM32	SD1185b2	ERS864208
Del324_BMH1	SD1186b2	ERS864210
Del326_DMC1	SD1187b	ERS864211
Del326_DMC1	SD1187b2	ERS864212
Del326_DMC1	SD1188b	ERS864213
Del326_DMC1	SD1188b2	ERS864214
Del327_ISC10	SD1189b	ERS864215
Del327_ISC10	SD1189b2	ERS864216
Del328_YER181C	SD1190b	ERS864217
Del328_YER181C	SD1190b2	ERS864218
Del329_FMP10	SD1191b	ERS864219
Del329_FMP10	SD1191b2	ERS864220
Del330_FAU1	SD1192b	ERS864221
Del330_FAU1	SD1192b2	ERS864222
Del331_TOG1	SD1193b	ERS864223
Del331_TOG1	SD1193b2	ERS864224
Del332_PUG1	SD1194b	ERS864225
Del332_PUG1	SD1194b2	ERS864226
Del333_YER186C	SD1195b2	ERS864228
Del334_YER187W	SD1196b	ERS864229
Del334_YER187W	SD1196b2	ERS864230
Del335_YMR052C-A	SD1197b	ERS864231
Del335_YMR052C-A	SD1197b2	ERS864232
Del336_FAR3	SD1198b	ERS864233
Del336_FAR3	SD1198b2	ERS864234
Del337_STB2	SD1199b	ERS864235
Del337_STB2	SD1199b2	ERS864236
Del338_STV1	SD1200b	ERS864237
Del338_STV1	SD1200b2	ERS864238
Del339_BUB2	SD1201b	ERS864239
Del339_BUB2	SD1201b2	ERS864240
Del340_AAC1	SD1202b	ERS864241
Del340_AAC1	SD1202b2	ERS864242
Del341_YMR057C	SD1203b	ERS864243
Del341_YMR057C	SD1203b2	ERS864244
Del342_FET3	SD1204b	ERS864245
Del342_FET3	SD1204b2	ERS864246
Del343_ARG7	SD1205b	ERS864247
Del343_ARG7	SD1205b2	ERS864248
Del344_RIM9	SD1206b	ERS864249
Del344_RIM9	SD1206b2	ERS864250
Del345_AEP1	SD1207b	ERS864251
Del345_AEP1	SD1207b2	ERS864252
Del346_KAR5	SD1208b	ERS864253
Del346_KAR5	SD1208b2	ERS864254
Del347_SOV1	SD1209b	ERS969967
Del347_SOV1	SD1209b2	ERS969968
Del348_UBX4	SD1210b	ERS864257
Del348_UBX4	SD1210b2	ERS864258
Del349_AVO2	SD1211b	ERS864259
Del349_AVO2	SD1211b2	ERS864260
Del350_NAT4	SD1212b	ERS864261
Del350_NAT4	SD1212b2	ERS864262
Del351_MOT3	SD1213b	ERS864177
Del351_MOT3	SD1213b2	ERS864178
Del352_TVP18	SD1214b	ERS864179
Del352_TVP18	SD1214b2	ERS864180
Del353_ABF2	SD1215b	ERS864255
Del353_ABF2	SD1215b2	ERS864256
Del354_IRC21	SD1216b	ERS864263
Del354_IRC21	SD1216b2	ERS864264
Del355_YMR075C-A	SD1217b	ERS864265
Del355_YMR075C-A	SD1217b2	ERS864266
Del356_RCO1	SD1218b	ERS864267
Del356_RCO1	SD1218b2	ERS864268
Del357_VPS20	SD1219b	ERS864269
Del357_VPS20	SD1219b2	ERS864270
Del358_CTF18	SD1220b	ERS864271
Del358_CTF18	SD1220b2	ERS864272
Del359_NAM7	SD1221b	ERS864273
Del359_NAM7	SD1221b2	ERS864274
Del360_ISF1	SD1222b	ERS864275
Del360_ISF1	SD1222b2	ERS864276
Del361_YMR082C	SD1223b	ERS864277
Del361_YMR082C	SD1223b2	ERS864278
Del362_ADH3	SD1224b	ERS864279
Del362_ADH3	SD1224b2	ERS864280
Del363_YMR084W	SD1225b	ERS864281
Del363_YMR084W	SD1225b2	ERS864282
Del364_YMR085W	SD1226b	ERS864283
Del364_YMR085W	SD1226b2	ERS864284
Del365_YMR086C-A	SD1227b	ERS864285
Del365_YMR086C-A	SD1227b2	ERS864286
Del366_SEG1	SD1228b	ERS864287
Del366_SEG1	SD1228b2	ERS864288
Del367_YMR087W	SD1229b	ERS864289
Del367_YMR087W	SD1229b2	ERS864290
Del368_VBA1	SD1230b	ERS864291
Del369_YTA12	SD1231b	ERS969969
Del369_YTA12	SD1231b2	ERS969970
Del370_YMR090W	SD1232b	ERS864293
Del370_YMR090W	SD1232b2	ERS864294
Del371_NPL6	SD1233b	ERS864295
Del371_NPL6	SD1233b2	ERS864296
Del372_AIP1	SD1234b	ERS864297
Del372_AIP1	SD1234b2	ERS864298
Del373_PDR18	SD1235b	ERS864299
Del373_PDR18	SD1235b2	ERS864300
Del374_YNR071C	SD1236b	ERS864301
Del374_YNR071C	SD1236b2	ERS864302
Del375_HXT17	SD1237b	ERS864303
Del375_HXT17	SD1237b2	ERS864304
Del376_YNR073C	SD1238b	ERS864305
Del376_YNR073C	SD1238b2	ERS864306
Del377_AIF1	SD1239b	ERS864307
Del377_AIF1	SD1239b2	ERS864308
Del378_COS10	SD1240b	ERS864309
Del378_COS10	SD1240b2	ERS864310
Del379_YOL013W-A	SD1241b	ERS864311
Del379_YOL013W-A	SD1241b2	ERS864312
Del381_DUF1	SD1243b	ERS864313
Del381_DUF1	SD1243b2	ERS864314
Del382_MPD2	SD1244b	ERS864315
Del382_MPD2	SD1244b2	ERS864316
Del383_HAL9	SD1245b	ERS864317
Del383_HAL9	SD1245b2	ERS864318
Del384_MSH2	SD1246b	ERS864319
Del384_MSH2	SD1246b2	ERS864320
Del385_SPO21	SD1247b	ERS864321
Del385_SPO21	SD1247b2	ERS864322
Del386_YPQ1	SD1248b	ERS864323
Del386_YPQ1	SD1248b2	ERS864324
Del387_TRM10	SD1249b	ERS864325
Del387_TRM10	SD1249b2	ERS864326
Del388_HMI1	SD1250b	ERS969973
Del388_HMI1	SD1250b2	ERS969974
Del390_YOL098C	SD1251b	ERS864327
Del390_YOL098C	SD1251b2	ERS864328
Del390_YOL098C	SD1252b	ERS864329
Del390_YOL098C	SD1252b2	ERS864330
Del391_YOL099C	SD1253b	ERS864331
Del391_YOL099C	SD1253b2	ERS864332
Del392_PKH2	SD1254b	ERS864333
Del392_PKH2	SD1254b2	ERS864334
Del393_IZH4	SD1255b	ERS864547
Del393_IZH4	SD1255b2	ERS864548
Del394_ITR2	SD1256b	ERS864335
Del395_NDJ1	SD1257b	ERS864337
Del395_NDJ1	SD1257b2	ERS864338
Del396_WSC3	SD1258b	ERS864339
Del396_WSC3	SD1258b2	ERS864340
Del397_YOL106W	SD1259b	ERS864341
Del397_YOL106W	SD1259b2	ERS864342
Del398_YOL107W	SD1260b	ERS864343
Del398_YOL107W	SD1260b2	ERS864344
Del399_INO4	SD1261b	ERS864345
Del399_INO4	SD1261b2	ERS864346
Del400_ZEO1	SD1262b	ERS864347
Del400_ZEO1	SD1262b2	ERS864348
Del401_SHR5	SD1263b	ERS952984
Del401_SHR5	SD1263b2	ERS952985
Del402_MDY2	SD1264b	ERS864349
Del403_MSB4	SD1265b	ERS864351
Del403_MSB4	SD1265b2	ERS864352
Del404_SKM1	SD1266b	ERS864549
Del404_SKM1	SD1266b2	ERS864550
Del405_YOL114C	SD1267b	ERS864353
Del405_YOL114C	SD1267b2	ERS864354
Del406_PAP2	SD1268b	ERS864355
Del406_PAP2	SD1268b2	ERS864356
Del407_MSN1	SD1269b	ERS864357
Del407_MSN1	SD1269b2	ERS864358
Del408_RRI2	SD1270b	ERS864359
Del408_RRI2	SD1270b2	ERS864360
Del409_YOL118C	SD1271b	ERS864361
Del409_YOL118C	SD1271b2	ERS864362
Del410_MCH4	SD1272b	ERS864363
Del410_MCH4	SD1272b2	ERS864364
Del411_RPS19A	SD1273b	ERS864365
Del411_RPS19A	SD1273b2	ERS864366
Del412_SMF1	SD1274b	ERS864367
Del412_SMF1	SD1274b2	ERS864368
Del413_TRM11	SD1275b	ERS864369
Del413_TRM11	SD1275b2	ERS864370
Del414_MDH2	SD1276b	ERS864371
Del414_MDH2	SD1276b2	ERS864372
Del415_YGK3	SD1277b	ERS864373
Del415_YGK3	SD1277b2	ERS864374
Del416_VPS68	SD1278b	ERS864375
Del416_VPS68	SD1278b2	ERS864376
Del417_YOL131W	SD1279b	ERS864377
Del417_YOL131W	SD1279b2	ERS864378
Del418_GAS4	SD1280b	ERS864379
Del418_GAS4	SD1280b2	ERS864380
Del419_PFK27	SD1281b	ERS864381
Del419_PFK27	SD1281b2	ERS864382
Del420_BSC6	SD1282b	ERS969975
Del420_BSC6	SD1282b2	ERS969976
Del421_RTC1	SD1283b	ERS864385
Del421_RTC1	SD1283b2	ERS864386
Del422_YBR232C	SD1284b	ERS864387
Del422_YBR232C	SD1284b2	ERS864388
Del423_DYN2	SD1285b	ERS864389
Del423_DYN2	SD1285b2	ERS864390
Del424_GLC3	SD1286b	ERS864391
Del424_GLC3	SD1286b2	ERS864392
Del425_VHR2	SD1287b	ERS864393
Del425_VHR2	SD1287b2	ERS864394
Del426_YER077C	SD1288b	ERS864395
Del427_ICP55	SD1289b	ERS864397
Del427_ICP55	SD1289b2	ERS864398
Del428_DOT6	SD1290b	ERS864399
Del428_DOT6	SD1290b2	ERS864400
Del429_TRP2	SD1291b	ERS864401
Del429_TRP2	SD1291b2	ERS864402
Del430_MET6	SD1292b	ERS864403
Del430_MET6	SD1292b2	ERS864404
Del431_IES5	SD1293b	ERS864405
Del431_IES5	SD1293b2	ERS864406
Del432_AIM11	SD1294b	ERS864407
Del432_AIM11	SD1294b2	ERS864408
Del433_RAD51	SD1295b	ERS864409
Del433_RAD51	SD1295b2	ERS864410
Del434_SHC1	SD1296b	ERS864411
Del434_SHC1	SD1296b2	ERS864412
Del435_YER097W	SD1297b	ERS864413
Del435_YER097W	SD1297b2	ERS864414
Del436_UBP9	SD1298b	ERS864415
Del436_UBP9	SD1298b2	ERS864416
Del437_CAF130	SD1299b	ERS864417
Del437_CAF130	SD1299b2	ERS864418
Del438_YGR210C	SD1300b	ERS864419
Del438_YGR210C	SD1300b2	ERS864420
Del439_RIM4	SD1301b	ERS864421
Del439_RIM4	SD1301b2	ERS864422
Del440_SNF6	SD1302b	ERS864423
Del440_SNF6	SD1302b2	ERS864424
Del441_YSC84	SD1303b	ERS864425
Del441_YSC84	SD1303b2	ERS864426
Del442_YSC83	SD1304b	ERS864427
Del442_YSC83	SD1304b2	ERS864428
Del443_ERC1	SD1305b	ERS864429
Del443_ERC1	SD1305b2	ERS864430
Del444_YHR045W	SD1306b	ERS864431
Del444_YHR045W	SD1306b2	ERS864432
Del445_SSZ1	SD1307b	ERS864433
Del445_SSZ1	SD1307b2	ERS864434
Del446_YHR140W	SD1308b	ERS864435
Del446_YHR140W	SD1308b2	ERS864436
Del447_MPC2	SD1309b	ERS864437
Del447_MPC2	SD1309b2	ERS864438
Del448_MTG2	SD1310b	ERS864439
Del448_MTG2	SD1310b2	ERS864440
Del449_SVP26	SD1311b	ERS864441
Del449_SVP26	SD1311b2	ERS864442
Del450_CTF8	SD1312b	ERS864443
Del450_CTF8	SD1312b2	ERS864444
Del451_EGD2	SD1313b	ERS864445
Del451_EGD2	SD1313b2	ERS864446
Del452_RRT7	SD1314b	ERS864447
Del452_RRT7	SD1314b2	ERS864448
Del453_YLL044W	SD1315b	ERS864449
Del453_YLL044W	SD1315b2	ERS864450
Del454_YBT1	SD1316b	ERS864383
Del454_YBT1	SD1316b2	ERS864384
Del455_LDB18	SD1317b	ERS864451
Del455_LDB18	SD1317b2	ERS864452
Del456_YLL059C	SD1318b	ERS864453
Del456_YLL059C	SD1318b2	ERS864454
Del457_YLR030W	SD1319b	ERS864455
Del457_YLR030W	SD1319b2	ERS864456
Del458_YLR031W	SD1320b	ERS864457
Del458_YLR031W	SD1320b2	ERS864458
Del459_RAD5	SD1321b	ERS864459
Del459_RAD5	SD1321b2	ERS864460
Del449_SVP26	SD1322b	ERS864461
Del449_SVP26	SD1322b2	ERS864462
Del461_MLH2	SD1323b	ERS864463
Del461_MLH2	SD1323b2	ERS864464
Del462_YLR036C	SD1324b	ERS864465
Del462_YLR036C	SD1324b2	ERS864466
Del463_PAU23	SD1325b	ERS864467
Del463_PAU23	SD1325b2	ERS864468
Del464_COX12	SD1326b	ERS864469
Del464_COX12	SD1326b2	ERS864470
Del465_RIC1	SD1327b	ERS864471
Del465_RIC1	SD1327b2	ERS864472
Del466_AFB1	SD1328b	ERS864473
Del466_AFB1	SD1328b2	ERS864474
Del467_YLR041W	SD1329b	ERS864475
Del467_YLR041W	SD1329b2	ERS864476
Del468_YLR050C	SD1330b	ERS864477
Del468_YLR050C	SD1330b2	ERS864478
Del469_IES3	SD1331b	ERS864479
Del469_IES3	SD1331b2	ERS864480
Del470_RPL13B	SD1332b	ERS969977
Del470_RPL13B	SD1332b2	ERS969978
Del471_MRPS8	SD1333b	ERS864481
Del471_MRPS8	SD1333b2	ERS864482
Del472_EAR1	SD1334b	ERS864483
Del472_EAR1	SD1334b2	ERS864484
Del473_YMR181C	SD1335b	ERS864485
Del473_YMR181C	SD1335b2	ERS864486
Del474_YMR209C	SD1336b	ERS864487
Del474_YMR209C	SD1336b2	ERS864488
Del476_YMR279C	SD1338b	ERS864489
Del476_YMR279C	SD1338b2	ERS864490
Del477_FKS3	SD1339b	ERS864491
Del477_FKS3	SD1339b2	ERS864492
Del478_GLC8	SD1340b	ERS864493
Del478_GLC8	SD1340b2	ERS864494
Del479_ELP6	SD1341b	ERS864495
Del479_ELP6	SD1341b2	ERS864496
Del480_TGL3	SD1342b	ERS864497
Del480_TGL3	SD1342b2	ERS864498
Del481_YMR315W	SD1343b	ERS864499
Del481_YMR315W	SD1343b2	ERS864500
Del482_YMR316C-A	SD1344b	ERS864501
Del482_YMR316C-A	SD1344b2	ERS864502
Del483_YMR316C-B	SD1345b	ERS864503
Del483_YMR316C-B	SD1345b2	ERS864504
Del484_DIA1	SD1346b	ERS864505
Del484_DIA1	SD1346b2	ERS864506
Del485_YMR317W	SD1347b	ERS864507
Del485_YMR317W	SD1347b2	ERS864508
Del486_ADH6	SD1348b	ERS864509
Del486_ADH6	SD1348b2	ERS864510
Del487_FET4	SD1349b	ERS864511
Del487_FET4	SD1349b2	ERS864512
Del488_YMR320W	SD1350b	ERS864513
Del488_YMR320W	SD1350b2	ERS864514
Del490_MRPL17	SD1352b	ERS864515
Del490_MRPL17	SD1352b2	ERS864516
Del491_PRM1	SD1353b	ERS864517
Del491_PRM1	SD1353b2	ERS864518
Del492_TOS6	SD1354b	ERS864519
Del492_TOS6	SD1354b2	ERS864520
Del493_PHA2	SD1355b	ERS864521
Del493_PHA2	SD1355b2	ERS864522
Del494_CMK2	SD1356b	ERS864523
Del494_CMK2	SD1356b2	ERS864524
Del495_RPS7A	SD1357b	ERS864525
Del495_RPS7A	SD1357b2	ERS864526
Del496_MCH5	SD1358b	ERS864527
Del496_MCH5	SD1358b2	ERS864528
Del497_FAA1	SD1359b	ERS864529
Del497_FAA1	SD1359b2	ERS864530
Del498_COX11	SD1360b	ERS864531
Del498_COX11	SD1360b2	ERS864532
Del499_ODC1	SD1361b	ERS864533
Del499_ODC1	SD1361b2	ERS864534
Del500_DAK1	SD1362b	ERS864535
Del500_DAK1	SD1362b2	ERS864536
Del501_COG8	SD1363b	ERS864537
Del501_COG8	SD1363b2	ERS864538
Del502_FPR3	SD1364b	ERS864539
Del502_FPR3	SD1364b2	ERS864540
Del503_YML090W	SD1365b	ERS864541
Del503_YML090W	SD1365b2	ERS864542
Del505_RAD10	SD1366b	ERS864543
Del505_RAD10	SD1366b2	ERS864544
Del505_RAD10	SD1367b	ERS864545
Del505_RAD10	SD1367b2	ERS864546
Del506_YML095C-A	SD1368b2	ERS864644
Del507_YML096W	SD1369b	ERS864645
Del507_YML096W	SD1369b2	ERS864646
Del508_VPS9	SD1370b	ERS864647
Del508_VPS9	SD1370b2	ERS864648
Del509_ARG81	SD1371b	ERS864551
Del509_ARG81	SD1371b2	ERS864552
Del510_TSL1	SD1372b	ERS864553
Del510_TSL1	SD1372b2	ERS864554
Del511_YML100W-A	SD1373b	ERS864555
Del511_YML100W-A	SD1373b2	ERS864556
Del512_CUE4	SD1374b	ERS864557
Del512_CUE4	SD1374b2	ERS864558
Del513_YML102C-A	SD1375b	ERS864559
Del513_YML102C-A	SD1375b2	ERS864560
Del514_CAC2	SD1376b	ERS864561
Del514_CAC2	SD1376b2	ERS864562
Del515_NUP188	SD1377b	ERS864563
Del515_NUP188	SD1377b2	ERS864564
Del516_MDM1	SD1378b	ERS864565
Del516_MDM1	SD1378b2	ERS864566
Del517_URA5	SD1379b	ERS864567
Del517_URA5	SD1379b2	ERS864568
Del518_PML39	SD1380b	ERS864569
Del518_PML39	SD1380b2	ERS864570
Del519_YML108W	SD1381b	ERS864571
Del519_YML108W	SD1381b2	ERS864572
Del520_ZDS2	SD1382b	ERS864573
Del520_ZDS2	SD1382b2	ERS864574
Del521_COQ5	SD1383b	ERS864575
Del521_COQ5	SD1383b2	ERS864576
Del522_BUL2	SD1384b	ERS864577
Del522_BUL2	SD1384b2	ERS864578
Del524_DAT1	SD1386b2	ERS864580
Del525_ATR1	SD1387b	ERS864581
Del525_ATR1	SD1387b2	ERS864582
Del526_NAB6	SD1388b	ERS864583
Del526_NAB6	SD1388b2	ERS864584
Del527_YML117W-A	SD1389b	ERS864585
Del527_YML117W-A	SD1389b2	ERS864586
Del528_NGL3	SD1390b	ERS864587
Del528_NGL3	SD1390b2	ERS864588
Del529_YML119W	SD1391b	ERS864589
Del529_YML119W	SD1391b2	ERS864590
Del530_NDI1	SD1392b	ERS864591
Del530_NDI1	SD1392b2	ERS864592
Del531_GTR1	SD1393b	ERS864593
Del531_GTR1	SD1393b2	ERS864594
Del532_YML122C	SD1394b	ERS1042079
Del532_YML122C	SD1394b2	ERS1042080
Del533_PHO84	SD1395b	ERS864595
Del533_PHO84	SD1395b2	ERS864596
Del534_TUB3	SD1396b	ERS864597
Del534_TUB3	SD1396b2	ERS864598
Del535_MSC1	SD1397b	ERS864599
Del535_MSC1	SD1397b2	ERS864600
Del526_NAB6	SD1398b	ERS864601
Del526_NAB6	SD1398b2	ERS864602
Del537_YML131W	SD1399b	ERS864603
Del537_YML131W	SD1399b2	ERS864604
Del538_MVP1	SD1400b	ERS864605
Del538_MVP1	SD1400b2	ERS864606
Del539_SNO1	SD1401b2	ERS864608
Del540_SNZ1	SD1402b	ERS864609
Del540_SNZ1	SD1402b2	ERS864610
Del540_SNZ1	SD1403b	ERS864611
Del540_SNZ1	SD1403b2	ERS864612
Del542_ATP25	SD1404b	ERS864613
Del542_ATP25	SD1404b2	ERS864614
Del543_YMR099C	SD1405b	ERS864615
Del543_YMR099C	SD1405b2	ERS864616
Del544_MUB1	SD1406b	ERS864617
Del544_MUB1	SD1406b2	ERS864618
Del545_SRT1	SD1407b	ERS864619
Del545_SRT1	SD1407b2	ERS864620
Del546_YMR102C	SD1408b	ERS864621
Del546_YMR102C	SD1408b2	ERS864622
Del547_YMR103C	SD1409b	ERS864623
Del547_YMR103C	SD1409b2	ERS864624
Del548_PGM2	SD1410b	ERS864625
Del548_PGM2	SD1410b2	ERS864626
Del549_YKU80	SD1411b	ERS864627
Del549_YKU80	SD1411b2	ERS864628
Del550_SPG4	SD1412b	ERS864629
Del550_SPG4	SD1412b2	ERS864630
Del551_MYO5	SD1413b	ERS864631
Del551_MYO5	SD1413b2	ERS864632
Del552_HFD1	SD1414b	ERS864633
Del552_HFD1	SD1414b2	ERS864634
Del553_YMR111C	SD1415b	ERS864635
Del553_YMR111C	SD1415b2	ERS864636
Del554_YMR114C	SD1416b	ERS864637
Del554_YMR114C	SD1416b2	ERS864638
Del555_MGR3	SD1417b	ERS864639
Del555_MGR3	SD1417b2	ERS864640
Del556_ASC1	SD1418b	ERS864641
Del556_ASC1	SD1418b2	ERS864642
Del557_YMR119W-A	SD1419b	ERS864649
Del557_YMR119W-A	SD1419b2	ERS864650
Del558_ADE17	SD1420b	ERS864651
Del558_ADE17	SD1420b2	ERS864652
Del559_RPL15B	SD1421b	ERS864653
Del559_RPL15B	SD1421b2	ERS864654
Del560_YMR122C	SD1422b	ERS864655
Del560_YMR122C	SD1422b2	ERS864656
Del561_PKR1	SD1423b	ERS864657
Del561_PKR1	SD1423b2	ERS864658
Del562_EPO1	SD1424b	ERS864659
Del562_EPO1	SD1424b2	ERS864660
Del562_EPO1	SD1425b	ERS864661
Del562_EPO1	SD1425b2	ERS864662
Del4322_PHR1	SD1426b3	ERS1076738
Del4322_PHR1	SD1426b4	ERS1076739
Del565_SAS2	SD1427b	ERS864665
Del565_SAS2	SD1427b2	ERS864666
Del566_POM152	SD1428b	ERS864667
Del566_POM152	SD1428b2	ERS864668
Del567_YMR130W	SD1429b	ERS864669
Del567_YMR130W	SD1429b2	ERS864670
Del568_JLP2	SD1430b	ERS864671
Del568_JLP2	SD1430b2	ERS864672
Del569_REC114	SD1431b	ERS864673
Del569_REC114	SD1431b2	ERS864674
Del570_GID8	SD1432b	ERS864675
Del570_GID8	SD1432b2	ERS864676
Del571_UBC8	SD1433b	ERS864677
Del571_UBC8	SD1433b2	ERS864678
Del572_YPT31	SD1434b	ERS864679
Del572_YPT31	SD1434b2	ERS864680
Del573_SPO73	SD1435b	ERS864681
Del573_SPO73	SD1435b2	ERS864682
Del574_THO1	SD1436b	ERS864683
Del574_THO1	SD1436b2	ERS864684
Del575_RRT13	SD1437b	ERS864685
Del575_RRT13	SD1437b2	ERS864686
Del590_SRB2	SD1438b	ERS864687
Del590_SRB2	SD1438b2	ERS864688
Del577_YGR201C	SD1439b	ERS864689
Del577_YGR201C	SD1439b2	ERS864690
Del578_ADE3	SD1440b	ERS864691
Del578_ADE3	SD1440b2	ERS864692
Del579_HSE1	SD1441b	ERS864693
Del579_HSE1	SD1441b2	ERS864694
Del580_PRS3	SD1442b	ERS969979
Del580_PRS3	SD1442b2	ERS969980
Del581_EFM1	SD1443b	ERS864697
Del581_EFM1	SD1443b2	ERS864698
Del582_TCD1	SD1444b	ERS864699
Del582_TCD1	SD1444b2	ERS864700
Del583_NEM1	SD1445b	ERS864701
Del583_NEM1	SD1445b2	ERS864702
Del584_GPA1	SD1446b	ERS864703
Del584_GPA1	SD1446b2	ERS864704
Del585_STP2	SD1447b	ERS864705
Del585_STP2	SD1447b2	ERS864706
Del586_SOD2	SD1448b	ERS864707
Del586_SOD2	SD1448b2	ERS864708
Del587_TDA3	SD1449b	ERS864709
Del587_TDA3	SD1449b2	ERS864710
Del589_VMA16	SD1451b	ERS864713
Del589_VMA16	SD1451b2	ERS864714
Del590_SRB2	SD1452b	ERS864715
Del590_SRB2	SD1452b2	ERS864716
Del591_FYV4	SD1453b	ERS969981
Del591_FYV4	SD1453b2	ERS969982
Del592_HTD2	SD1454b	ERS864719
Del592_HTD2	SD1454b2	ERS864720
Del593_YHR127W	SD1455b	ERS864721
Del593_YHR127W	SD1455b2	ERS864722
Del594_YHR131C	SD1456b	ERS864723
Del594_YHR131C	SD1456b2	ERS864724
Del595_YHR180W	SD1457b	ERS864725
Del595_YHR180W	SD1457b2	ERS864726
Del596_PFS1	SD1458b	ERS864727
Del596_PFS1	SD1458b2	ERS864728
Del597_MDM31	SD1459b	ERS1042877
Del597_MDM31	SD1459b2	ERS1042878
Del598_YLL007C	SD1460b	ERS864731
Del598_YLL007C	SD1460b2	ERS864732
Del599_RIM13	SD1461b	ERS864733
Del599_RIM13	SD1461b2	ERS864734
Del600_GOR1	SD1462b	ERS864735
Del600_GOR1	SD1462b2	ERS864736
Del601_PPM2	SD1463b	ERS864737
Del601_PPM2	SD1463b2	ERS864738
Del603_YOL150C	SD1465b	ERS864695
Del603_YOL150C	SD1465b2	ERS864696
Del604_ENB1	SD1466b	ERS864711
Del604_ENB1	SD1466b2	ERS864712
Del605_YOL159C	SD1467b	ERS864717
Del606_YOL160W	SD1468b	ERS864729
Del606_YOL160W	SD1468b2	ERS864730
Del607_YOL162W	SD1469b	ERS864739
Del607_YOL162W	SD1469b2	ERS864740
Del608_YOL163W	SD1470b	ERS864741
Del608_YOL163W	SD1470b2	ERS864742
Del609_YOR008C-A	SD1471b	ERS864743
Del609_YOR008C-A	SD1471b2	ERS864744
Del610_RPL21A	SD1472b	ERS969983
Del610_RPL21A	SD1472b2	ERS969984
Del611_GRX1	SD1473b	ERS864747
Del611_GRX1	SD1473b2	ERS864748
Del612_PAA1	SD1474b	ERS864749
Del612_PAA1	SD1474b2	ERS864750
Del613_TPS2	SD1475b	ERS864751
Del613_TPS2	SD1475b2	ERS864752
Del614_GAL83	SD1476b	ERS864753
Del614_GAL83	SD1476b2	ERS864754
Del615_PHM8	SD1477b	ERS864755
Del615_PHM8	SD1477b2	ERS864756
Del616_CYS4	SD1478b	ERS1076550
Del616_CYS4	SD1478b2	ERS1076551
Del617_HCR1	SD1479b	ERS864759
Del617_HCR1	SD1479b2	ERS864760
Del618_THI7	SD1480b	ERS864761
Del618_THI7	SD1480b2	ERS864762
Del619_ERF2	SD1481b	ERS864763
Del619_ERF2	SD1481b2	ERS864764
Del620_YLR334C	SD1482b	ERS864765
Del620_YLR334C	SD1482b2	ERS864766
Del621_YLR346C	SD1483b	ERS864767
Del621_YLR346C	SD1483b2	ERS864768
Del622_YLR358C	SD1484b	ERS864769
Del622_YLR358C	SD1484b2	ERS864770
Del623_DCR2	SD1485b	ERS864771
Del623_DCR2	SD1485b2	ERS864772
Del624_ARC18	SD1486b	ERS1076552
Del624_ARC18	SD1486b2	ERS1076553
Del625_NAM2	SD1487b	ERS969985
Del625_NAM2	SD1487b2	ERS969986
Del626_CST9	SD1488b	ERS864777
Del626_CST9	SD1488b2	ERS864778
Del627_RPL31B	SD1489b	ERS864779
Del627_RPL31B	SD1489b2	ERS864780
Del628_APT1	SD1490b	ERS864781
Del628_APT1	SD1490b2	ERS864782
Del629_YOX1	SD1491b	ERS864783
Del629_YOX1	SD1491b2	ERS864784
Del630_CGI121	SD1492b	ERS864785
Del630_CGI121	SD1492b2	ERS864786
Del631_YMD8	SD1493b	ERS864787
Del631_YMD8	SD1493b2	ERS864788
Del632_VPS71	SD1494b	ERS864789
Del632_VPS71	SD1494b2	ERS864790
Del633_CAT2	SD1495b	ERS864791
Del633_CAT2	SD1495b2	ERS864792
Del634_PRM6	SD1496b	ERS864793
Del634_PRM6	SD1496b2	ERS864794
Del635_HMG1	SD1497b	ERS864795
